fc_elyz_capex,shed_max,dispatch,algo,srand,ret,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1000.0,0.0,1,GN_DIRECT,1,MAXEVAL_REACHED,0.5924741964061354,0.0,4.3144954107243314e7,1.2408565316591173e7,12433.7,20904.0,3213.75,140.59,1517.33,2904.4
1000.0,0.0,1,GN_DIRECT,2,MAXEVAL_REACHED,0.5924741964061354,0.0,4.3144954107243314e7,1.2408565316591173e7,12433.7,20904.0,3213.75,140.59,1517.33,2904.4
1000.0,0.0,1,GN_DIRECT,3,MAXEVAL_REACHED,0.5924741964061354,0.0,4.3144954107243314e7,1.2408565316591173e7,12433.7,20904.0,3213.75,140.59,1517.33,2904.4
1000.0,0.0,1,GN_DIRECT,4,MAXEVAL_REACHED,0.5924741964061354,0.0,4.3144954107243314e7,1.2408565316591173e7,12433.7,20904.0,3213.75,140.59,1517.33,2904.4
1000.0,0.0,1,GN_DIRECT,5,MAXEVAL_REACHED,0.5924741964061354,0.0,4.3144954107243314e7,1.2408565316591173e7,12433.7,20904.0,3213.75,140.59,1517.33,2904.4
1000.0,0.0,1,GN_CRS2_LM,1,XTOL_REACHED,0.5445597792148019,0.0,4.0077712808008686e7,1.0522524513640165e7,17070.0,22953.91,911.04,1168.24,1398.41,4022.51
1000.0,0.0,1,GN_CRS2_LM,2,XTOL_REACHED,0.5754477805343237,0.0,4.147192456350136e7,1.1559294538528604e7,16686.32,21164.32,2089.43,695.77,1398.43,34140.0
1000.0,0.0,1,GN_CRS2_LM,3,XTOL_REACHED,0.533946388193207,0.0,3.92471883235602e7,1.0800943073667623e7,11452.36,21138.87,2127.88,223.39,1398.1,3947.51
1000.0,0.0,1,GN_CRS2_LM,4,XTOL_REACHED,0.6322395200649391,0.0,4.522031769045234e7,1.3194851502402632e7,17070.0,20659.91,3321.81,598.48,1401.81,34140.0
1000.0,0.0,1,GN_CRS2_LM,5,XTOL_REACHED,0.5253314584722704,0.0,3.8823994702491105e7,1.05968910654404e7,9785.8,21212.32,2127.92,264.61,1428.16,4623.44
1000.0,0.0,1,GN_AGS,1,MAXEVAL_REACHED,0.5577623335425667,0.0,4.101589419628906e7,1.1196570827092486e7,12933.78,21207.44,2132.71,1329.43,1427.36,23600.44
1000.0,0.0,1,GN_AGS,2,MAXEVAL_REACHED,0.5577623335425667,0.0,4.101589419628906e7,1.1196570827092486e7,12933.78,21207.44,2132.71,1329.43,1427.36,23600.44
1000.0,0.0,1,GN_AGS,3,MAXEVAL_REACHED,0.5577623335425667,0.0,4.101589419628906e7,1.1196570827092486e7,12933.78,21207.44,2132.71,1329.43,1427.36,23600.44
1000.0,0.0,1,GN_AGS,4,MAXEVAL_REACHED,0.5577623335425667,0.0,4.101589419628906e7,1.1196570827092486e7,12933.78,21207.44,2132.71,1329.43,1427.36,23600.44
1000.0,0.0,1,GN_AGS,5,MAXEVAL_REACHED,0.5577623335425667,0.0,4.101589419628906e7,1.1196570827092486e7,12933.78,21207.44,2132.71,1329.43,1427.36,23600.44
1000.0,0.0,1,GN_ISRES,1,MAXEVAL_REACHED,0.609425301084544,0.0,4.498560610691364e7,1.1912378249064865e7,16019.41,23839.37,1671.38,2341.25,1756.55,29908.21
